"","Year","Location","Event","Athelete","Country","Medal","Time","TimeFormat","Altitude","minutes","seconds","totalseconds"
"636",2006,"Turin, Italy","5000m Short Track Relay Men","Éric Bédard","CAN","SILVER","06:43.7","06:43.7",239,360,43.7,403.7
"637",2006,"Turin, Italy","5000m Short Track Relay Men","Alex Izykowski","USA","BRONZE","06:48.0","06:48.0",239,360,48,408
"638",2006,"Turin, Italy","5000m Short Track Relay Men","J.P. Kepka","USA","BRONZE","06:48.0","06:48.0",239,360,48,408
"639",2006,"Turin, Italy","5000m Short Track Relay Men","Apolo Anton Ohno","USA","BRONZE","06:48.0","06:48.0",239,360,48,408
"640",2006,"Turin, Italy","5000m Short Track Relay Men","Rusty Smith","USA","BRONZE","06:48.0","06:48.0",239,360,48,408
"641",2006,"Turin, Italy","1500m Short Track Men","Ahn Hyun-Soo","KOR","GOLD","02:25.3","02:25.3",239,120,25.3,145.3
"642",2006,"Turin, Italy","1500m Short Track Men","Lee Ho-Suk","KOR","SILVER","02:25.6","02:25.6",239,120,25.6,145.6
"643",2006,"Turin, Italy","1500m Short Track Men","Jiajun Li","CHN","BRONZE","02:26.0","02:26.0",239,120,26,146
"644",2006,"Turin, Italy","500m Short Track Women","Wang Meng","CHN","GOLD","44.345","00:44.345",239,0,44.345,44.345
"645",2006,"Turin, Italy","500m Short Track Women","Evgenia Radanova","BUL","SILVER","44.374","00:44.374",239,0,44.374,44.374
"646",2006,"Turin, Italy","500m Short Track Women","Anouk Leblanc-Boucher","CAN","BRONZE","44.759","00:44.759",239,0,44.759,44.759
"647",2006,"Turin, Italy","1000m Short Track Women","Jin Sun-Yu","KOR","GOLD","01:32.9","01:32.9",239,60,32.9,92.9
"648",2006,"Turin, Italy","1000m Short Track Women","Wang Meng","CHN","SILVER","01:33.1","01:33.1",239,60,33.1,93.1
"649",2006,"Turin, Italy","1000m Short Track Women","Yang (A) Yang","CHN","BRONZE","01:33.9","01:33.9",239,60,33.9,93.9
"650",2006,"Turin, Italy","3000m Short Track Relay Women","Jin Sun-Yu","KOR","GOLD","04:17.0","04:17.0",239,240,17,257
"651",2006,"Turin, Italy","3000m Short Track Relay Women","Eun-Kyung Choi","KOR","GOLD","04:17.0","04:17.0",239,240,17,257
"652",2006,"Turin, Italy","3000m Short Track Relay Women","Byun Chun-Sa","KOR","GOLD","04:17.0","04:17.0",239,240,17,257
"653",2006,"Turin, Italy","3000m Short Track Relay Women","Jeon Da-Hye","KOR","GOLD","04:17.0","04:17.0",239,240,17,257
"654",2006,"Turin, Italy","3000m Short Track Relay Women","Alanna Kraus","CAN","SILVER","04:17.3","04:17.3",239,240,17.3,257.3
"655",2006,"Turin, Italy","3000m Short Track Relay Women","Anouk Leblanc-Boucher","CAN","SILVER","04:17.3","04:17.3",239,240,17.3,257.3
"656",2006,"Turin, Italy","3000m Short Track Relay Women","Kalyna Roberge","CAN","SILVER","04:17.3","04:17.3",239,240,17.3,257.3
"657",2006,"Turin, Italy","3000m Short Track Relay Women","Katia Zini","ITA","BRONZE","04:20.0","04:20.0",239,240,20,260
"658",2006,"Turin, Italy","3000m Short Track Relay Women","Mara Zini","ITA","BRONZE","04:20.0","04:20.0",239,240,20,260
"659",2006,"Turin, Italy","3000m Short Track Relay Women","Marta Capurso","ITA","BRONZE","04:20.0","04:20.0",239,240,20,260
"660",2006,"Turin, Italy","3000m Short Track Relay Women","Arianna Fontana","ITA","BRONZE","04:20.0","04:20.0",239,240,20,260
"661",2006,"Turin, Italy","1500m Short Track Women","Jin Sun-Yu","KOR","GOLD","02:23.5","02:23.5",239,120,23.5,143.5
"662",2006,"Turin, Italy","1500m Short Track Women","Eun-Kyung Choi","KOR","SILVER","02:24.1","02:24.1",239,120,24.1,144.1
"663",2006,"Turin, Italy","1500m Short Track Women","Wang Meng","CHN","BRONZE","02:24.5","02:24.5",239,120,24.5,144.5
"664",2010,"Vancouver, Canada","500m Men","Mo Tae-Bum","KOR","GOLD","69.82","00:69.82",21,0,69.82,69.82
"665",2010,"Vancouver, Canada","500m Men","Keiichiro Nagashima","JPN","SILVER","69.98","00:69.98",21,0,69.98,69.98
"666",2010,"Vancouver, Canada","500m Men","Joji Kato","JPN","BRONZE","70.01","00:70.01",21,0,70.01,70.01
"667",2010,"Vancouver, Canada","1000m Men","Shani Davis","USA","GOLD","1:08.94","1:08.94",21,60,8.94,68.94
"668",2010,"Vancouver, Canada","1000m Men","Mo Tae-Bum","KOR","SILVER","1:09.12","1:09.12",21,60,9.12,69.12
"669",2010,"Vancouver, Canada","1000m Men","Chad Hedrick","USA","BRONZE","1:09.32","1:09.32",21,60,9.32,69.32
"670",2010,"Vancouver, Canada","1500m Men","Mark Tuitert","NED","GOLD","1:45.57","1:45.57",21,60,45.57,105.57
"671",2010,"Vancouver, Canada","1500m Men","Shani Davis","USA","SILVER","1:46.10","1:46.10",21,60,46.1,106.1
"672",2010,"Vancouver, Canada","1500m Men","Håvard Bøkko","NOR","BRONZE","1:46.13","1:46.13",21,60,46.13,106.13
"673",2010,"Vancouver, Canada","5000m Men","Sven Kramer","NED","GOLD","6:14.60","6:14.60",21,360,14.6,374.6
"674",2010,"Vancouver, Canada","5000m Men","Lee Seung-Hoon","KOR","SILVER","6:16.95","6:16.95",21,360,16.95,376.95
"675",2010,"Vancouver, Canada","5000m","Ivan Skobrev","RUS","BRONZE","6:18.05","6:18.05",21,360,18.05,378.05
"676",2010,"Vancouver, Canada","10000m Men","Lee Seung-Hoon","KOR","GOLD","12:58.55","12:58.55",21,720,58.55,778.55
"677",2010,"Vancouver, Canada","10000m Men","Ivan Skobrev","RUS","SILVER","13:02.07","13:02.07",21,780,2.07,782.07
"678",2010,"Vancouver, Canada","10000m Men","Bob de Jong","NED","BRONZE","13:06.73","13:06.73",21,780,6.73,786.73
"679",2010,"Vancouver, Canada","Team Pursuit Men","Mathieu Giroux","CAN","GOLD","3:41.37","3:41.37",21,180,41.37,221.37
"680",2010,"Vancouver, Canada","Team Pursuit Men","Lucas Makowsky","CAN","GOLD","3:41.37","3:41.37",21,180,41.37,221.37
"681",2010,"Vancouver, Canada","Team Pursuit Men","Denny Morrison","CAN","GOLD","3:41.37","3:41.37",21,180,41.37,221.37
"682",2010,"Vancouver, Canada","Team Pursuit Men","Brian Hansen","USA","SILVER","3:41.58","3:41.58",21,180,41.58,221.58
"683",2010,"Vancouver, Canada","Team Pursuit Men","Chad Hedrick","USA","SILVER","3:41.58","3:41.58",21,180,41.58,221.58
"684",2010,"Vancouver, Canada","Team Pursuit Men","Jonathan Kuck","USA","SILVER","3:41.58","3:41.58",21,180,41.58,221.58
"685",2010,"Vancouver, Canada","Team Pursuit Men","Trevor Marsicano","USA","SILVER","3:41.58","3:41.58",21,180,41.58,221.58
"686",2010,"Vancouver, Canada","Team Pursuit Men","Jan Blokhuijsen","NED","BRONZE","3:39.95","3:39.95",21,180,39.95,219.95
"687",2010,"Vancouver, Canada","Team Pursuit Men","Sven Kramer","NED","BRONZE","3:39.95","3:39.95",21,180,39.95,219.95
"688",2010,"Vancouver, Canada","Team Pursuit Men","Simon Kuipers","NED","BRONZE","3:39.95","3:39.95",21,180,39.95,219.95
"689",2010,"Vancouver, Canada","Team Pursuit Men","Mark Tuitert","NED","BRONZE","3:39.95","3:39.95",21,180,39.95,219.95
"690",2010,"Vancouver, Canada","500m Women","Lee Sang-Hwa","KOR","GOLD","76.09","00:76.09",21,0,76.09,76.09
"691",2010,"Vancouver, Canada","500m Women","Jenny Wolf","GER","SILVER","76.14","00:76.14",21,0,76.14,76.14
"692",2010,"Vancouver, Canada","500m Women","Wang Beixing","CHN","BRONZE","76.63","00:76.63",21,0,76.63,76.63
"693",2010,"Vancouver, Canada","1000m Women","Christine Nesbitt","CAN","GOLD","1:16.56","1:16.56",21,60,16.56,76.56
"694",2010,"Vancouver, Canada","1000m Women","Annette Gerritsen","NED","SILVER","1:16.58","1:16.58",21,60,16.58,76.58
"695",2010,"Vancouver, Canada","1000m Women","Laurine van Riessen","NED","BRONZE","1:16.72","1:16.72",21,60,16.72,76.72
"696",2010,"Vancouver, Canada","1500m Women","Ireen Wüst","NED","GOLD","1:56.89","1:56.89",21,60,56.89,116.89
"697",2010,"Vancouver, Canada","1500m Women","Kristina Groves","CAN","SILVER","1:57.14","1:57.14",21,60,57.14,117.14
"698",2010,"Vancouver, Canada","1500m Women","Martina Sáblíková","CZE","BRONZE","1:57.96","1:57.96",21,60,57.96,117.96
"699",2010,"Vancouver, Canada","3000m Women","Martina Sáblíková","CZE","GOLD","4:02.53","4:02.53",21,240,2.53,242.53
"700",2010,"Vancouver, Canada","3000m Women","Stephanie Beckert","GER","SILVER","4:04.62","4:04.62",21,240,4.62,244.62
"701",2010,"Vancouver, Canada","3000m Women","Kristina Groves","CAN","BRONZE","4:04.84","4:04.84",21,240,4.84,244.84
"702",2010,"Vancouver, Canada","5000m Women","Martina Sáblíková","CZE","GOLD","6:50.92","6:50.92",21,360,50.92,410.92
"703",2010,"Vancouver, Canada","5000m Women","Stephanie Beckert","GER","SILVER","6:51.39","6:51.39",21,360,51.39,411.39
"704",2010,"Vancouver, Canada","5000m Women","Clara Hughes","GER","BRONZE","6:55.73","6:55.73",21,360,55.73,415.73
"705",2010,"Vancouver, Canada","Team Pursuit Women","Daniela Anschütz-Thoms","GER","GOLD","3:02.82","3:02.82",21,180,2.82,182.82
"706",2010,"Vancouver, Canada","Team Pursuit Women","Stephanie Beckert","GER","GOLD","3:02.82","3:02.82",21,180,2.82,182.82
"707",2010,"Vancouver, Canada","Team Pursuit Women","Anni Friesinger-Postma","GER","GOLD","3:02.82","3:02.82",21,180,2.82,182.82
"708",2010,"Vancouver, Canada","Team Pursuit Women","Katrin Mattscherodt","GER","GOLD","3:02.82","3:02.82",21,180,2.82,182.82
"709",2010,"Vancouver, Canada","Team Pursuit Women","Masako Hozumi","JPN","SILVER","3:02.84","3:02.84",21,180,2.84,182.84
"710",2010,"Vancouver, Canada","Team Pursuit Women","Nao Kodaira","JPN","SILVER","3:02.84","3:02.84",21,180,2.84,182.84
"711",2010,"Vancouver, Canada","Team Pursuit Women","Maki Tabata","JPN","SILVER","3:02.84","3:02.84",21,180,2.84,182.84
"712",2010,"Vancouver, Canada","Team Pursuit Women","Katarzyna Bachleda-Curuś","POL","BRONZE","3:03.73","3:03.73",21,180,3.73,183.73
"713",2010,"Vancouver, Canada","Team Pursuit Women","Katarzyna Woźniak","POL","BRONZE","3:03.73","3:03.73",21,180,3.73,183.73
"714",2010,"Vancouver, Canada","Team Pursuit Women","Luiza Złotkowska","POL","BRONZE","3:03.73","3:03.73",21,180,3.73,183.73
"715",2010,"Vancouver, Canada","500m Short Track Men","Charles Hamelin","CAN","GOLD","40.981","00:40.981",21,0,40.981,40.981
"716",2010,"Vancouver, Canada","500m Short Track Men","Sung Si-Bak","KOR","SILVER","41.34","00:41.340",21,0,41.34,41.34
"717",2010,"Vancouver, Canada","500m Short Track Men","François-Louis Tremblay","CAN","BRONZE","46.366","00:46.366",21,0,46.366,46.366
"718",2010,"Vancouver, Canada","1000m Short Track Men","Lee Jung-Su","KOR","GOLD","1:23.747","1:23.747",21,60,23.747,83.747
"719",2010,"Vancouver, Canada","1000m Short Track Men","Lee Ho-Suk","KOR","SILVER","1:23.801","1:23.801",21,60,23.801,83.801
"720",2010,"Vancouver, Canada","1000m Short Track Men","Apolo Anton Ohno","USA","BRONZE","1:24.128","1:24.128",21,60,24.128,84.128
"721",2010,"Vancouver, Canada","1500m Short Track Men","Lee Jung-Su","KOR","GOLD","2:17.611","2:17.611",21,120,17.611,137.611
"722",2010,"Vancouver, Canada","1500m Short Track Men","Apolo Anton Ohno","USA","SILVER","2:17.976","2:17.976",21,120,17.976,137.976
"723",2010,"Vancouver, Canada","1500m Short Track Men","J. R. Celski","USA","BRONZE","2:18.053","2:18.053",21,120,18.053,138.053
"724",2010,"Vancouver, Canada","5000m Short Track Relay Men","Charles Hamelin","CAN","GOLD","6:44.224","6:44.224",21,360,44.224,404.224
"725",2010,"Vancouver, Canada","5000m Short Track Relay Men","François Hamelin","CAN","GOLD","6:44.224","6:44.224",21,360,44.224,404.224
"726",2010,"Vancouver, Canada","5000m Short Track Relay Men","Olivier Jean","CAN","GOLD","6:44.224","6:44.224",21,360,44.224,404.224
"727",2010,"Vancouver, Canada","5000m Short Track Relay Men","François-Louis Tremblay","CAN","GOLD","6:44.224","6:44.224",21,360,44.224,404.224
"728",2010,"Vancouver, Canada","5000m Short Track Relay Men","Kwak Yoon-Gy","KOR","SILVER","6:44.446","6:44.446",21,360,44.446,404.446
"729",2010,"Vancouver, Canada","5000m Short Track Relay Men","Lee Ho-Suk","KOR","SILVER","6:44.446","6:44.446",21,360,44.446,404.446
"730",2010,"Vancouver, Canada","5000m Short Track Relay Men","Lee Jung-Su","KOR","SILVER","6:44.446","6:44.446",21,360,44.446,404.446
"731",2010,"Vancouver, Canada","5000m Short Track Relay Men","Sung Si-Bak","KOR","SILVER","6:44.446","6:44.446",21,360,44.446,404.446
"732",2010,"Vancouver, Canada","5000m Short Track Relay Men","J.R. Celski","USA","BRONZE","6:44.498","6:44.498",21,360,44.498,404.498
"733",2010,"Vancouver, Canada","5000m Short Track Relay Men","Travis Jayner","USA","BRONZE","6:44.498","6:44.498",21,360,44.498,404.498
"734",2010,"Vancouver, Canada","5000m Short Track Relay Men","Jordan Malone","USA","BRONZE","6:44.498","6:44.498",21,360,44.498,404.498
"735",2010,"Vancouver, Canada","5000m Short Track Relay Men","Apolo Anton Ohno","USA","BRONZE","6:44.498","6:44.498",21,360,44.498,404.498
"736",2010,"Vancouver, Canada","500m Short Track Women","Wang Meng","CHN","GOLD","43.048","00:43.048",21,0,43.048,43.048
"737",2010,"Vancouver, Canada","500m Short Track Women","Marianne St-Gelais","CAN","SILVER","43.707","00:43.707",21,0,43.707,43.707
"738",2010,"Vancouver, Canada","500m Short Track Women","Arianna Fontana","ITA","BRONZE","43.804","00:43.804",21,0,43.804,43.804
"739",2010,"Vancouver, Canada","1000m Short Track Women","Wang Meng","CHN","GOLD","1:29.213","1:29.213",21,60,29.213,89.213
"740",2010,"Vancouver, Canada","1000m Short Track Women","Katherine Reutter","USA","SILVER","1:29.324","1:29.324",21,60,29.324,89.324
"741",2010,"Vancouver, Canada","1000m Short Track Women","Park Seung-Hi","KOR","BRONZE","1:29.379","1:29.379",21,60,29.379,89.379
"742",2010,"Vancouver, Canada","1500m Short Track Women","Zhou Yang","CHN","GOLD","2:16.993","2:16.993",21,120,16.993,136.993
"743",2010,"Vancouver, Canada","1500m Short Track Women","Lee Eun-Byul","KOR","SILVER","2:17.849","2:17.849",21,120,17.849,137.849
"744",2010,"Vancouver, Canada","1500m Short Track Women","Park Seung-Hi","KOR","BRONZE","2:17.927","2:17.927",21,120,17.927,137.927
"745",2010,"Vancouver, Canada","3000m Short Track Relay Women","Sun Linlin","CHN","GOLD","4:06.610","4:06.610",21,240,6.61,246.61
"746",2010,"Vancouver, Canada","3000m Short Track Relay Women","Wang Meng","CHN","GOLD","4:06.610","4:06.610",21,240,6.61,246.61
"747",2010,"Vancouver, Canada","3000m Short Track Relay Women","Zhang Hui","CHN","GOLD","4:06.610","4:06.610",21,240,6.61,246.61
"748",2010,"Vancouver, Canada","3000m Short Track Relay Women","Zhou Yang","CHN","GOLD","4:06.610","4:06.610",21,240,6.61,246.61
"749",2010,"Vancouver, Canada","3000m Short Track Relay Women","Jessica Gregg","CAN","SILVER","4:09.137","4:09.137",21,240,9.137,249.137
"750",2010,"Vancouver, Canada","3000m Short Track Relay Women","Kalyna Roberge","CAN","SILVER","4:09.137","4:09.137",21,240,9.137,249.137
"751",2010,"Vancouver, Canada","3000m Short Track Relay Women","Marianne St-Gelais","CAN","SILVER","4:09.137","4:09.137",21,240,9.137,249.137
"752",2010,"Vancouver, Canada","3000m Short Track Relay Women","Tania Vicent","CAN","SILVER","4:09.137","4:09.137",21,240,9.137,249.137
"753",2010,"Vancouver, Canada","3000m Short Track Relay Women","Allison Baver","USA","BRONZE","4:14.081","4:14.081",21,240,14.081,254.081
"754",2010,"Vancouver, Canada","3000m Short Track Relay Women","Alyson Dudek","USA","BRONZE","4:14.081","4:14.081",21,240,14.081,254.081
"755",2010,"Vancouver, Canada","3000m Short Track Relay Women","Lana Gehring","USA","BRONZE","4:14.081","4:14.081",21,240,14.081,254.081
"756",2010,"Vancouver, Canada","3000m Short Track Relay Women","Katherine Reutter","USA","BRONZE","4:14.081","4:14.081",21,240,14.081,254.081
